experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,50,3,4,ER,2,5231,132,49,353,32,80,62,42,59,101,67,85,81,63,49,71,36,64,45,28,43,36,30,48,23,24,27,23,21,15,18,6,11,11,9,5,9,7,6,8,5,9,5,6,7,5,5,7,5,4,7,6,7,12,8,4,5,5,5,5,7,5,8,5,6,7,9,9,7,7,6,7,5,6,6,7,14,13,12,8,11,15,16,17,13,11,10,8,18,9,21,19,19,21,18,18,23,13,24,33,47
glu,50,3,4,ER,4,4988,119,41,380,34,112,92,42,97,80,59,61,77,52,56,50,36,35,33,46,43,22,21,30,23,14,16,19,13,11,8,7,7,9,4,6,7,12,6,8,5,5,9,8,4,3,5,5,3,3,6,7,6,3,4,3,3,3,4,3,3,7,3,4,11,6,6,5,5,5,7,5,8,3,6,4,5,6,7,2,8,8,7,12,7,15,9,10,10,8,17,13,16,9,7,7,13,4,17,13,29
glu,50,3,4,ER,6,10062,189,59,492,52,132,98,36,91,64,91,114,89,60,78,58,62,48,41,45,40,35,46,56,34,28,34,18,19,16,16,17,16,17,16,12,19,11,11,11,17,7,13,6,8,4,13,6,2,3,10,3,8,5,7,3,2,3,4,4,6,9,9,9,10,9,14,9,16,12,15,15,9,9,9,11,13,9,13,20,11,10,20,23,11,15,18,13,20,15,11,13,19,15,26,26,28,8,22,44,54
glu,50,3,4,ER,7,8990,161,54,459,50,129,80,35,99,101,117,96,102,69,61,62,53,34,39,48,40,39,42,38,42,33,31,18,15,21,20,14,15,12,12,6,8,10,9,12,10,3,9,8,9,6,7,3,3,9,4,5,7,5,6,3,6,3,8,6,9,7,6,2,11,15,9,16,7,10,13,9,10,12,9,14,14,11,19,16,14,23,16,22,10,8,17,12,22,20,13,19,13,10,9,14,15,1,8,28,42
glu,50,3,4,ER,8,3566,70,30,265,16,39,40,24,60,51,61,81,50,53,64,53,47,42,45,35,37,32,40,58,32,31,39,25,12,14,13,9,12,8,8,4,5,7,7,4,11,3,7,4,5,3,4,0,4,8,2,1,5,8,4,4,2,3,4,2,4,3,3,4,9,12,6,6,4,6,6,8,9,10,7,10,6,12,14,17,19,13,19,22,13,14,17,16,13,20,20,13,17,25,13,27,26,16,21,32,67
glu,50,3,4,ER,9,8990,130,45,406,38,100,74,32,101,119,80,132,130,88,89,103,78,78,77,59,63,58,61,68,55,39,30,35,22,25,16,12,6,21,9,7,8,9,11,15,11,7,5,5,9,6,15,5,13,5,9,5,7,11,7,6,5,3,8,2,14,12,8,12,12,12,6,19,11,12,13,11,3,10,10,15,11,16,26,16,16,11,31,18,20,26,21,25,17,20,28,31,18,38,23,25,22,8,29,42,51
glu,50,3,4,ER,10,6569,127,45,388,41,106,82,40,104,95,62,87,129,95,85,67,73,52,57,50,69,62,59,66,59,51,46,39,26,27,26,17,12,10,7,9,10,6,12,10,6,5,7,8,3,2,4,3,4,3,8,7,6,10,8,12,5,2,5,5,5,8,5,8,7,8,14,17,6,8,17,8,5,14,14,10,7,15,12,12,21,9,22,8,16,21,17,14,13,18,18,18,19,21,21,36,34,13,40,47,126
glu,50,3,4,ER,11,5786,96,68,368,37,89,79,48,73,107,79,112,109,69,91,95,56,52,60,43,63,45,57,67,48,37,47,30,30,19,25,13,19,8,12,11,9,7,10,8,5,8,11,7,9,5,3,8,0,7,7,9,7,13,10,11,3,7,6,4,7,4,12,6,2,6,12,10,7,9,11,8,8,11,12,12,14,11,10,7,14,17,18,22,15,24,19,14,17,14,15,13,14,25,19,17,29,19,20,49,85
glu,50,3,4,ER,12,6178,104,24,267,29,65,62,22,56,75,48,72,64,60,61,70,58,62,55,55,76,68,58,63,43,53,42,26,25,19,20,19,10,9,6,13,9,12,11,9,10,6,5,4,12,8,6,2,4,6,2,5,6,6,3,8,6,9,5,7,7,9,11,13,6,5,9,7,5,8,4,10,3,10,10,16,13,15,15,16,21,12,13,16,6,14,11,13,9,17,17,22,19,15,24,24,40,13,25,44,115
glu,50,3,4,ER,13,6330,112,32,394,25,55,75,24,85,77,82,132,108,76,78,90,63,63,60,50,57,56,40,59,48,46,38,31,25,23,25,13,12,14,5,5,16,8,13,6,7,6,6,7,5,12,9,10,4,8,6,10,6,9,10,3,6,1,6,4,6,8,10,3,8,5,11,11,7,6,10,11,9,8,12,16,18,19,17,16,17,18,15,19,17,12,13,12,26,20,28,22,21,23,26,30,37,15,37,63,67
