group,replicate,time,OD
0,1,12:00,0.021
0,2,12:02,0.021
0,3,12:03,0.021
0,4,12:04,0.029
0,5,12:05,0.020
0,6,12:06,0.022
0.5,1,12:15,0.026
0.5,2,12:16,0.010
0.5,3,12:17,0.051
0.5,4,12:18,0.025
0.5,5,12:19,0.034
5,1,12:29,0.021
5,2,12:30,0.024
5,3,12:31,0.031
5,4,12:32,0.023
5,5,12:34,0.023
5,6,12:35,0.024
50,1,12:44,0.023
50,2,12:45,0.022
50,3,12:46,0.024
50,4,12:47,0.033
50,5,12:48,0.023
50,6,12:49,0.019
100,1,13:00,0.022
100,2,13:01,0.031
100,3,13:02,0.025
100,4,13:03,0.025
100,5,13:05,0.026
100,6,13:06,0.025
200,1,13:16,0.026
200,2,13:17,0.024
200,3,13:18,0.023
200,4,13:20,0.024
200,5,13:21,0.024
0,1,14:08,0.018
0,2,14:10,0.024
0,3,14:11,0.020
0,4,14:12,0.025
0,5,14:13,0.019
0,6,14:14,0.019
0.5,1,14:16,0.033
0.5,2,14:17,0.012
0.5,3,14:19,0.067
0.5,4,14:20,0.031
0.5,5,14:21,0.045
5,1,14:24,0.035
5,2,14:25,0.035
5,3,14:27,0.053
5,4,14:28,0.039
5,5,14:29,0.040
5,6,14:30,0.044
50,1,14:32,0.043
50,2,14:33,0.040
50,3,14:34,0.044
50,4,14:36,0.067
50,5,14:37,0.042
50,6,14:38,0.040
100,1,14:41,0.041
100,2,14:43,0.056
100,3,14:45,0.046
100,4,14:46,0.044
100,5,14:47,0.043
100,6,14:48,0.046
200,1,14:50,0.045
200,2,14:52,0.038
200,3,14:53,0.041
200,4,14:54,0.041
200,5,14:55,0.042
0,1,15:37,0.020
0,2,15:38,0.019
0,3,15:40,0.021
0,4,15:42,0.027
0,5,15:42,0.019
0,6,15:43,0.042
0.5,1,15:46,0.047
0.5,2,15:47,0.015
0.5,3,15:48,0.094
0.5,4,15:49,0.042
0.5,5,15:51,0.060
5,1,15:53,0.070
5,2,15:54,0.068
5,3,15:56,0.108
5,4,15:56,0.074
5,5,15:58,0.072
5,6,15:59,0.079
50,1,16:01,0.081
50,2,16:03,0.077
50,3,16:04,0.083
50,4,16:05,0.132
50,5,16:06,0.086
50,6,16:07,0.075
100,1,16:09,0.082
100,2,16:11,0.108
100,3,16:12,0.083
100,4,16:13,0.087
100,5,16:14,0.087
100,6,16:16,0.090
200,1,16:19,0.087
200,2,16:20,0.080
200,3,16:21,0.081
200,4,16:22,0.081
200,5,16:23,0.081
0,1,17:19,0.019
0,2,17:20,0.019
0,3,17:21,0.020
0,4,17:22,0.026
0,5,17:23,0.019
0,6,17:25,0.019
0.5,1,17:29,0.100
0.5,2,17:31,0.025
0.5,3,17:31,0.149
0.5,4,17:33,0.076
0.5,5,17:34,0.102
5,1,17:37,0.155
5,2,17:38,0.158
5,3,17:40,0.251
5,4,17:41,0.243
5,5,17:42,0.173
5,6,17:44,0.183
50,1,17:49,0.202
50,2,17:50,0.195
50,3,17:52,0.209
50,4,17:53,0.341
50,5,17:55,0.210
50,6,17:58,0.181
100,1,18:02,0.220
100,2,18:03,0.298
100,3,18:04,0.229
100,4,18:06,0.226
100,5,18:07,0.236
100,6,18:09,0.248
200,1,18:11,0.239
200,2,18:12,0.218
200,3,18:14,0.227
200,4,18:16,0.228
200,5,18:17,0.232
0,1,20:02,0.019
0,2,20:03,0.019
0,3,20:04,0.018
0,4,20:06,0.025
0,5,20:07,0.019
0,6,20:08,0.020
0.5,1,20:19,0.361
0.5,2,20:18,0.071
0.5,3,20:20,0.282
0.5,4,20:22,0.184
0.5,5,20:23,0.230
5,1,20:29,0.575
5,2,20:30,0.557
5,3,20:30,0.634
5,4,20:31,0.582
5,5,20:33,0.577
5,6,20:24,0.579
50,1,20:46,1.00
50,2,20:49,0.95
50,3,20:50,1.06
50,4,20:51,1.68
50,5,20:53,1.03
50,6,20:55,0.81
100,1,21:00,1.10
100,2,21:01,1.54
100,3,21:02,1.17
100,4,21:03,1.19
100,5,21:14,1.22
100,6,21:05,1.28
200,1,21:20,1.49
200,2,21:21,1.39
200,3,21:22,1.39
200,4,21:23,1.31
200,5,21:26,1.47
